Date,Total Equity,Cash,Invested Value,Active Positions,Holdings
2022-05-13,4261453.245654331,1280766.750781284,2980686.494873047,5,"SPLPETRO.NS: 1381, SOLARINDS.NS: 215, GESHIP.NS: 1834, POWERGRID.NS: 4023, VBL.NS: 4144"
2022-05-20,4336580.041065918,1249526.7876403201,3087053.253425598,5,"SPLPETRO.NS: 1381, SOLARINDS.NS: 215, GESHIP.NS: 1834, CHENNPETRO.NS: 2029, ADANIPOWER.NS: 9722"
2022-05-27,4068399.732172367,1072641.6283210486,2995758.1038513184,5,"GESHIP.NS: 1834, ADANIPOWER.NS: 9722, BLS.NS: 6095, ATGL.NS: 232, JWL.NS: 9782"
2022-06-03,3936196.444852557,1078353.5181710387,2857842.9266815186,5,"GESHIP.NS: 1834, BLS.NS: 6095, JWL.NS: 9782, MRPL.NS: 6630, BDL.NS: 1419"
2022-06-10,4197574.770303805,1122980.3395176725,3074594.430786133,5,"BLS.NS: 6095, JWL.NS: 9782, MRPL.NS: 6630, BDL.NS: 1419, CHENNPETRO.NS: 1859"
2022-06-17,3955866.877175689,1104880.4917920833,2850986.385383606,5,"BLS.NS: 6095, BDL.NS: 1419, ELECON.NS: 4313, APARINDS.NS: 626, HAL.NS: 614"
2022-06-24,3877797.163270008,1068105.4441385383,2809691.7191314697,5,"BLS.NS: 6095, ELECON.NS: 4313, APARINDS.NS: 626, HAL.NS: 614, M&M.NS: 524"
2022-07-01,3864363.105949876,489726.8248600934,3374636.2810897827,6,"GOLDBEES.NS: 13067, BLS.NS: 6095, ELECON.NS: 4313, APARINDS.NS: 626, HAL.NS: 614, M&M.NS: 524"
2022-07-08,4008988.226623551,1007247.8524780432,3001740.374145508,5,"BLS.NS: 6095, ELECON.NS: 4313, APARINDS.NS: 626, M&M.NS: 524, AIAENG.NS: 248"
2022-07-15,4112980.594177609,1008503.4628146939,3104477.131362915,5,"BLS.NS: 6095, ELECON.NS: 4313, APARINDS.NS: 626, M&M.NS: 524, AIAENG.NS: 248"
2022-07-22,4264567.701863681,1009760.63836423,3254807.0634994507,5,"BLS.NS: 6095, ELECON.NS: 4313, APARINDS.NS: 626, M&M.NS: 524, AIAENG.NS: 248"
2022-07-29,4366483.015417626,356001.96547179506,4010481.0499458313,6,"GOLDBEES.NS: 14865, BLS.NS: 6095, ELECON.NS: 4313, APARINDS.NS: 626, M&M.NS: 524, AIAENG.NS: 248"
2022-08-05,4437763.85711129,314585.5993903425,4123178.2577209473,6,"GOLDBEES.NS: 14885, BLS.NS: 6095, ELECON.NS: 4313, APARINDS.NS: 626, M&M.NS: 524, ELGIEQUIP.NS: 1472"
2022-08-12,4449967.245781418,396768.48120927415,4053198.7645721436,6,"GOLDBEES.NS: 14833, ELECON.NS: 4313, APARINDS.NS: 626, M&M.NS: 524, ELGIEQUIP.NS: 1472, TIMKEN.NS: 203"
2022-08-19,4357737.952272872,429139.197664718,3928598.7546081543,6,"GOLDBEES.NS: 14716, ELECON.NS: 4313, APARINDS.NS: 626, TIMKEN.NS: 203, HSCL.NS: 6123, ATGL.NS: 180"
2022-08-26,4502840.791624869,369532.33580287837,4133308.455821991,6,"GOLDBEES.NS: 15247, ELECON.NS: 4313, APARINDS.NS: 626, HSCL.NS: 6123, ATGL.NS: 180, TITAGARH.NS: 4001"
2022-09-02,4512103.253123679,1174590.84623281,3337512.406890869,5,"APARINDS.NS: 626, HSCL.NS: 6123, ATGL.NS: 180, TITAGARH.NS: 4001, ANANTRAJ.NS: 6780"
2022-09-09,4441272.835460805,1294411.7677041525,3146861.067756653,5,"HSCL.NS: 6123, ATGL.NS: 180, ANANTRAJ.NS: 6780, KIRLOSENG.NS: 2434, TIINDIA.NS: 227"
