Ticker,Shares
GVT&D.NS,6
APLAPOLLO.NS,11
ASHOKLEY.NS,123
KARURVYSYA.NS,78
KIRLOSENG.NS,20
NATIONALUM.NS,70
SHRIRAMFIN.NS,24
VEDL.NS,37
UNIONBANK.NS,123
FORCEMOT.NS,1
