,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
WHIRLPOOL,0,1235,1236 days,10000,7381.950615,-26.18049385,-29.6883505,100,0,41.61599056,978 days,5,4,1,1291.023104,25,0.763637814,-18.21074188,0.763637814,-15.38030511,5 days 00:00:00,84 days 16:00:00,0.015726275,-977.2681221,-0.365874856,-0.206025382,0.886674603,-0.486111036
WIPRO,0,1235,1236 days,10000,9832.002496,-1.679975037,52.82375237,100,0,26.61233621,520 days,2,2,0,0,50,21.57155354,-19.12579703,21.57155354,-19.12579703,437 days 00:00:00,97 days 00:00:00,0.912161829,-83.99875184,0.088645436,-0.018753488,1.019823895,0.127154316
WOCKPHARMA,0,1235,1236 days,10000,55697.47241,456.9747241,373.728627,100,0,30.07987414,97 days,2,2,0,0,100,450.2868852,1.215336766,225.751111,,277 days 00:00:00,,,22848.7362,1.343692802,2.195971505,1.343088275,2.453715903
YESBANK,0,1235,1236 days,10000,12925.86372,29.25863722,81.46938776,100,0,44.31363154,425 days,4,3,1,1558.313755,33.33333333,24.26229508,-7.807807808,24.26229508,-4.29000429,252 days 00:00:00,115 days 12:00:00,2.605158982,455.8499889,0.388088008,0.177677106,1.101124958,0.639635479
ZFCVINDIA,0,1235,1236 days,10000,14404.37838,44.04378376,167.3804598,100,0,27.09531308,436 days,5,4,1,-840.3771177,50,48.44260666,-4.892426594,29.46410565,-3.579728669,284 days 12:00:00,37 days 00:00:00,6.865549552,1311.188873,0.575639714,0.419974211,1.118574797,0.885459509
ZEEL,0,1235,1236 days,10000,4020.456069,-59.79543931,-41.36601646,100,0,66.36561067,961 days,4,4,0,0,0,-9.038991729,-29.91875398,,-20.00658307,,90 days 12:00:00,0,-1494.885983,-0.615160628,-0.355483394,0.828047793,-0.779753092
ZENTEC,0,1235,1236 days,10000,102159.5603,921.5956034,1842.853111,100,0,62.28175505,315 days,3,3,0,0,100,479.3913916,2.090230089,184.7312445,,264 days 00:00:00,,,30719.85345,1.569599176,1.583630128,1.349502737,2.744361971
ZENSARTECH,0,1235,1236 days,10000,18897.11585,88.97115847,395.1037753,100,0,45.16767092,455 days,2,2,0,0,50,140.7057506,-21.49287749,140.7057506,-21.49287749,511 days 00:00:00,125 days 00:00:00,5.13956477,4448.557924,0.670971715,0.457765651,1.151666036,1.098472082
ZYDUSLIFE,0,1235,1236 days,10000,19292.99518,92.92995183,148.990052,100,0,30.58612904,382 days,3,2,1,-723.866371,50,123.2662885,-10.34534733,123.2662885,-10.34534733,498 days 00:00:00,50 days 00:00:00,10.68247971,5008.430777,1.07383446,0.700229833,1.24744153,1.665198045
ECLERX,0,1235,1236 days,10000,14103.57622,41.03576224,955.9121508,100,0,45.8928885,693 days,5,4,1,3212.489549,50,41.47626922,-14.02496173,22.20656366,-13.51998472,204 days 12:00:00,81 days 12:00:00,1.353400801,222.7716687,0.471175548,0.232876222,1.094320665,0.743073576
