,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
SIEMENS,0,1235,1236 days,10000,20469.02799,104.6902799,326.0990434,100,0,27.33426094,258 days,2,2,0,0,100,59.58866037,28.26116809,43.92491423,,368 days 12:00:00,,,5234.513996,0.901490123,0.861832717,1.187027762,1.307392597
SIGNATURE,0,515,516 days,10000,8779.121308,-12.20878692,139.0142842,100,0,24.23584847,268 days,1,1,0,0,0,-12.20878692,-12.20878692,,-12.20878692,,70 days 00:00:00,0,-1220.878692,-0.596720565,-0.363059924,0.79547829,-0.735442573
SOBHA,0,1235,1236 days,10000,28239.98721,182.3998721,453.0109073,100,0,37.06138721,450 days,3,2,1,571.3188686,50,184.0830629,-2.603597484,184.0830629,-2.603597484,320 days 00:00:00,154 days 00:00:00,68.8625189,8834.334171,0.969064581,0.968023071,1.241095672,1.662391282
SOLARINDS,0,1235,1236 days,10000,40341.38959,303.4138959,1277.97383,100,0,28.88448338,325 days,3,2,1,1224.868017,100,117.8916405,79.5228192,98.70722982,,368 days 12:00:00,,,14558.26079,1.264902148,1.76451995,1.255960288,2.069161042
SONACOMS,0,1076,1077 days,10000,11563.67655,15.6367655,36.3687703,100,0,19.16651184,274 days,1,1,0,0,100,15.6367655,15.6367655,15.6367655,,381 days 00:00:00,,,1563.67655,0.32546468,0.263321769,1.082843926,0.517304583
SONATSOFTW,0,1235,1236 days,10000,13795.41909,37.95419088,244.7908956,100,0,41.05373351,413 days,2,2,0,0,50,68.32526686,-18.04308797,68.32526686,-18.04308797,328 days 00:00:00,117 days 00:00:00,3.103530778,1897.709544,0.468227881,0.24279405,1.128038332,0.728171883
STARHEALTH,0,961,962 days,10000,6594.839626,-34.05160374,-46.95374097,100,0,40.92679774,738 days,4,3,1,455.8329021,0,-6.643213614,-22.14660544,,-14.7750774,,48 days 08:00:00,0,-1286.997759,-1.005711323,-0.356998796,0.736841582,-1.33106932
SBIN,0,1235,1236 days,10000,9796.09053,-2.039094705,416.5008292,100,0,36.83971019,566 days,4,3,1,666.8072539,33.33333333,26.510592,-16.93409545,26.510592,-15.03032998,370 days 00:00:00,124 days 12:00:00,0.687217783,-290.2389081,0.091191252,-0.016464217,1.019074521,0.125476797
SAIL,0,1235,1236 days,10000,13834.44259,38.34442594,372.7492239,100,0,28.16926138,451 days,3,2,1,85.80281799,50,55.47977422,-11.57280846,55.47977422,-11.57280846,424 days 00:00:00,42 days 00:00:00,4.239178969,1874.319888,0.468055928,0.357104559,1.119566163,0.670067676
SUMICHEM,0,1235,1236 days,10000,7454.941463,-25.45058537,93.96469557,100,0,36.45991208,460 days,5,4,1,-1409.222055,25,3.428621729,-8.90071439,3.428621729,-4.959887308,177 days 00:00:00,104 days 08:00:00,0.207431223,-283.9591205,-0.17210566,-0.227864456,0.96343898,-0.269969838
SUNPHARMA,0,1235,1236 days,10000,19323.52906,93.23529062,282.1167392,100,0,19.12859266,270 days,2,2,0,0,100,53.60344844,25.80140133,39.70242488,,415 days 12:00:00,,,4661.764531,1.081301075,1.122614458,1.203122098,1.681430641
SUNTV,0,1235,1236 days,10000,8417.050697,-15.82949303,52.24156896,100,0,33.95278401,669 days,4,4,0,0,50,20.19153875,-17.07076375,10.84017147,-16.93184521,162 days 12:00:00,81 days 12:00:00,0.48932193,-395.7373257,-0.131898372,-0.146131973,0.969841556,-0.181880163
SUNDARMFIN,0,1235,1236 days,10000,18360.44029,83.60440286,226.2486186,100,0,28.03837075,264 days,3,3,0,0,33.33333333,100.0288496,-5.242692301,100.0288496,-4.187635184,559 days 00:00:00,83 days 00:00:00,7.290318523,2786.813429,0.783825474,0.700962272,1.161872519,1.208322123
SUNDRMFAST,0,1235,1236 days,10000,8008.192898,-19.91807102,134.2664022,100,0,37.98270685,500 days,4,3,1,-434.0722175,33.33333333,27.37313609,-21.64424536,27.37313609,-18.52797755,358 days 00:00:00,142 days 00:00:00,0.597815177,-519.2449614,-0.178697631,-0.167151563,0.966617713,-0.255966176
SUPREMEIND,0,1235,1236 days,10000,13265.22568,32.65225679,175.0704276,100,0,32.71119489,413 days,4,3,1,-1509.241551,33.33333333,90.55040712,-12.24517013,90.55040712,-11.9451066,350 days 00:00:00,120 days 00:00:00,2.505301371,1591.489077,0.42720728,0.266032883,1.086829282,0.639447264
SUZLON,0,1235,1236 days,10000,27786.20726,177.8620726,1722.741433,100,0,60.06349206,435 days,4,4,0,0,25,302.5605536,-17.95299469,302.5605536,-16.91300528,408 days 00:00:00,68 days 12:00:00,3.319748559,3488.139363,0.873320821,0.586509898,1.165623153,1.358079829
SWANCORP,0,1235,1236 days,10000,17569.62312,75.69623118,240.7108124,100,0,45.55680032,415 days,5,5,0,0,40,92.6923869,-23.05865156,65.82395529,-12.69909832,227 days 12:00:00,39 days 00:00:00,2.676064661,1513.924624,0.595976899,0.397486936,1.141739617,0.933302919
SWIGGY,0,238,239 days,10000,9116.588505,-8.834114953,-8.344298246,100,0,9.728432763,27 days,1,0,1,-883.4114953,,,,,,,,,,-1.260467403,-1.354045295,0.595896989,-1.617568152
SYNGENE,0,1235,1236 days,10000,7051.345469,-29.48654531,23.88613861,100,0,34.51945655,1022 days,5,5,0,0,20,8.688253222,-20.37815365,8.688253222,-10.03307142,163 days 00:00:00,69 days 12:00:00,0.193603912,-589.7309062,-0.4660878,-0.283975764,0.893666937,-0.642864854
SYRMA,0,784,785 days,10000,11588.61742,15.88617422,167.2825275,100,0,50.01254679,460 days,3,2,1,4171.845958,50,2.955654248,-27.96149451,2.955654248,-27.96149451,183 days 00:00:00,68 days 00:00:00,0.102669878,-1291.614268,0.368343956,0.141881518,1.087549092,0.547360872
TBOTEK,0,363,364 days,10000,9559.652791,-4.40347209,7.288629738,100,0,10.10592962,35 days,1,0,1,-440.347209,,,,,,,,,,-0.286851761,-0.436901762,0.886758107,-0.410740716
TVSMOTOR,0,1235,1236 days,10000,41498.81032,314.9881032,680.9138282,100,0,26.20952368,270 days,2,1,1,8449.037505,100,230.4977282,230.4977282,230.4977282,,772 days 00:00:00,,,23049.77282,1.691718298,1.99292455,1.321919066,2.649672614
TATACHEM,0,1235,1236 days,10000,6681.682018,-33.18317982,208.1699682,100,0,47.01740583,1000 days,5,4,1,-774.429756,0,-1.336648736,-13.86519078,,-6.945641773,,148 days 06:00:00,0,-635.9720564,-0.241486905,-0.238755313,0.94938281,-0.343096682
TATACOMM,0,1235,1236 days,10000,9958.554841,-0.414451586,114.424165,100,0,31.04320099,528 days,5,4,1,780.5325667,25,28.78512723,-20.79013521,28.78512723,-10.29797921,256 days 00:00:00,105 days 00:00:00,0.733437045,-205.4944313,0.12636029,-0.003948362,1.025564069,0.187925714
TCS,0,1235,1236 days,10000,10815.27668,8.152766761,30.44730192,100,0,20.20905947,472 days,3,3,0,0,33.33333333,24.407272,-9.995594739,24.407272,-6.703249465,417 days 00:00:00,103 days 12:00:00,1.623989139,271.758892,0.21889656,0.115861413,1.045663149,0.324993552
TATACONSUM,0,1235,1236 days,10000,10565.09999,5.650999943,147.7000484,100,0,22.54077524,525 days,4,3,1,932.0562463,33.33333333,22.14276877,-14.70333768,22.14276877,-11.12062078,343 days 00:00:00,96 days 12:00:00,0.826357983,-122.3187507,0.180333561,0.072605439,1.037756937,0.257759969
TATAELXSI,0,1235,1236 days,10000,10453.14483,4.531448258,287.8875725,100,0,39.12454319,791 days,3,3,0,0,100,2.685351533,0.846392196,1.491728428,,127 days 00:00:00,,,151.0482753,0.175295707,0.033670386,1.050737314,0.264137143
TATAINVEST,0,1235,1236 days,10000,46457.04175,364.5704175,928.0733239,100,0,41.95364888,406 days,4,3,1,7301.633557,100,150.3493629,12.36993257,67.30172147,,245 days 08:00:00,,,9718.469399,1.21862496,1.368008653,1.298088934,2.3553582
TMPV,0,10,11 days,10000,10000,0,5.526416784,0,0,,,0,0,0,0,,,,,,,,,,,,,
TATAPOWER,0,1235,1236 days,10000,24898.64779,148.9864779,710.2016607,100,0,32.20633625,412 days,2,2,0,0,100,74.98239437,42.29230248,58.63734842,,275 days 12:00:00,,,7449.323894,0.988544262,0.959943977,1.261295426,1.52126405
TATASTEEL,0,1235,1236 days,10000,12467.15088,24.67150885,431.5743945,100,0,18.93767061,338 days,4,3,1,1115.855653,33.33333333,28.37258163,-9.473874525,28.37258163,-5.897661466,310 days 00:00:00,40 days 00:00:00,2.167386169,450.4317439,0.441471456,0.355301877,1.117778487,0.628080164
TATATECH,0,469,470 days,10000,10000,0,-45.33483294,0,0,,,0,0,0,0,,,,,,,,,,,,,
TTML,0,1235,1236 days,10000,21900.02128,119.0002128,603.0769231,100,0,71.24087143,939 days,3,3,0,0,33.33333333,201.1335013,-24.51822371,201.1335013,-14.08504004,184 days 00:00:00,100 days 00:00:00,2.448867019,3966.67376,0.770223169,0.365632185,1.190660592,1.180234757
TECHM,0,1235,1236 days,10000,11990.71647,19.90716471,109.690393,100,0,36.13264668,625 days,3,3,0,0,33.33333333,33.15823587,-5.225201939,33.15823587,-5.105969449,502 days 00:00:00,76 days 12:00:00,2.716496365,663.5721569,0.345885291,0.152425978,1.068421688,0.497813239
TECHNOE,0,1235,1236 days,10000,37636.26382,276.3626382,630.8590991,100,0,45.06099783,260 days,2,1,1,-2407.881414,100,300.4414524,300.4414524,300.4414524,,659 days 00:00:00,,,30044.14524,1.187463376,1.063099602,1.260608641,1.86738087
TEJASNET,0,1235,1236 days,10000,12738.02706,27.38027056,491.3753171,100,0,32.56557074,330 days,4,4,0,0,75,18.99407446,-8.634519677,11.92039191,-8.634519677,188 days 08:00:00,175 days 00:00:00,3.274466405,684.5067639,0.380177495,0.227485753,1.073211502,0.585148246
NIACL,0,1235,1236 days,10000,13479.49399,34.79493993,95.4442383,100,0,41.76240966,539 days,3,2,1,-916.3098701,50,59.21275612,-9.581341259,59.21275612,-9.581341259,450 days 00:00:00,68 days 00:00:00,5.587879447,2197.901932,0.417550158,0.220720938,1.101799296,0.650893736
RAMCOCEM,0,1235,1236 days,10000,11413.31558,14.13315583,33.40960231,100,0,28.37346952,464 days,5,4,1,1132.193119,50,10.76308309,-5.635937321,5.487729402,-3.739894513,142 days 00:00:00,51 days 00:00:00,1.370912941,70.28061599,0.293756773,0.140308391,1.06916021,0.433479205
THERMAX,0,1235,1236 days,10000,24277.49173,142.7749173,341.0231412,100,0,30.94257647,327 days,2,2,0,0,100,73.61808488,39.83273543,56.72541016,,364 days 00:00:00,,,7138.745865,0.920676506,0.967702185,1.19096164,1.427066191
TIMKEN,0,1235,1236 days,10000,10335.07028,3.350702794,189.3284225,100,0,55.74576544,727 days,5,4,1,-1493.880667,25,66.08698293,-19.36195151,66.08698293,-10.42309618,391 days 00:00:00,72 days 08:00:00,1.382645946,457.2377366,0.188542625,0.017544346,1.040174583,0.325193642
TITAGARH,0,1235,1236 days,10000,121508.7756,1115.087756,2143.142145,100,0,42.3487717,333 days,1,1,0,0,100,1115.087756,1115.087756,1115.087756,,784 days 00:00:00,,,111508.7756,1.760128036,2.575528708,1.384180642,2.92051698
TITAN,0,1235,1236 days,10000,8570.226927,-14.29773073,225.9777507,100,0,34.70596377,892 days,5,4,1,553.556183,25,12.64285141,-13.00158615,12.64285141,-10.68712478,229 days 00:00:00,99 days 08:00:00,0.339191963,-495.8323139,-0.127075658,-0.128337678,0.974528259,-0.178303744
TORNTPHARM,0,1235,1236 days,10000,19924.55448,99.24554485,201.5090518,100,0,21.44943726,360 days,4,3,1,-7.743275671,66.66666667,93.5456985,-0.98178939,48.77589413,-0.98178939,282 days 12:00:00,71 days 00:00:00,102.1652586,3310.76592,1.050904126,1.052603931,1.235175842,1.524424235
TORNTPOWER,0,1235,1236 days,10000,16152.76068,61.52760683,385.7163948,100,0,43.98647592,527 days,3,3,0,0,66.66666667,109.5755554,-24.16815543,55.60659073,-24.16815543,259 days 12:00:00,99 days 00:00:00,3.504793947,2050.920228,0.589449048,0.345828155,1.134191807,0.943452716
TARIL,0,1235,1236 days,10000,191724.9665,1817.249665,10143.21267,100,0,42.92114695,230 days,2,1,1,182899.9013,0,-11.74934726,-11.74934726,,-11.74934726,,178 days 00:00:00,0,-1174.934726,1.690831441,3.24345665,1.317283561,2.892474239
TRENT,0,1235,1236 days,10000,35841.00765,258.4100765,606.9525569,100,0,39.31053426,337 days,3,3,0,0,100,196.6905124,1.529814162,72.40093044,,253 days 00:00:00,,,8613.669216,1.295539799,1.164698492,1.28404436,2.133769832
